date,state,district,type,beds
1/1/2022,Sarawak,Serian,hospital_non_moh,0
1/1/2022,Sarawak,Serian,special_medical_institution,0
1/1/2022,Sarawak,Sibu,hospital_moh,662
1/1/2022,Sarawak,Sibu,hospital_non_moh,0
1/1/2022,Sarawak,Sibu,special_medical_institution,0
1/1/2022,Sarawak,Simunjan,hospital_moh,42
1/1/2022,Sarawak,Simunjan,hospital_non_moh,0
1/1/2022,Sarawak,Simunjan,special_medical_institution,0
1/1/2022,Sarawak,Song,hospital_moh,0
1/1/2022,Sarawak,Song,hospital_non_moh,0
1/1/2022,Sarawak,Song,special_medical_institution,0
1/1/2022,Sarawak,Sri Aman,hospital_moh,92
1/1/2022,Sarawak,Sri Aman,hospital_non_moh,0
1/1/2022,Sarawak,Sri Aman,special_medical_institution,0
1/1/2022,Sarawak,Subis,hospital_moh,0
1/1/2022,Sarawak,Subis,hospital_non_moh,0
1/1/2022,Sarawak,Subis,special_medical_institution,0
1/1/2022,Sarawak,Tanjung Manis,hospital_moh,0
1/1/2022,Sarawak,Tanjung Manis,hospital_non_moh,0
1/1/2022,Sarawak,Tanjung Manis,special_medical_institution,0
1/1/2022,Sarawak,Tatau,hospital_moh,0
1/1/2022,Sarawak,Tatau,hospital_non_moh,0
1/1/2022,Sarawak,Tatau,special_medical_institution,0
1/1/2022,Sarawak,Tebedu,hospital_moh,0
1/1/2022,Sarawak,Tebedu,hospital_non_moh,0
1/1/2022,Sarawak,Tebedu,special_medical_institution,0
1/1/2022,Selangor,Gombak (Rawang),hospital_moh,2164
1/1/2022,Selangor,Gombak (Rawang),hospital_non_moh,897
1/1/2022,Selangor,Gombak (Rawang),special_medical_institution,92
1/1/2022,Selangor,Hulu Langat (Bangi),hospital_moh,1087
1/1/2022,Selangor,Hulu Langat (Bangi),hospital_non_moh,0
1/1/2022,Selangor,Hulu Langat (Bangi),special_medical_institution,0
1/1/2022,Selangor,Hulu Selangor,hospital_moh,120
1/1/2022,Selangor,Hulu Selangor,hospital_non_moh,0
1/1/2022,Selangor,Hulu Selangor,special_medical_institution,0
1/1/2022,Selangor,Klang,hospital_moh,1261
1/1/2022,Selangor,Klang,hospital_non_moh,0
1/1/2022,Selangor,Klang,special_medical_institution,0
1/1/2022,Selangor,Kuala Langat,hospital_moh,196
1/1/2022,Selangor,Kuala Langat,hospital_non_moh,0
1/1/2022,Selangor,Kuala Langat,special_medical_institution,0
1/1/2022,Selangor,Kuala Selangor,hospital_moh,114
1/1/2022,Selangor,Kuala Selangor,hospital_non_moh,0
1/1/2022,Selangor,Kuala Selangor,special_medical_institution,0
1/1/2022,Selangor,Petaling (Subang Jaya),hospital_moh,490
1/1/2022,Selangor,Petaling (Subang Jaya),hospital_non_moh,0
1/1/2022,Selangor,Petaling (Subang Jaya),special_medical_institution,0
1/1/2022,Selangor,Sabak Bernam,hospital_moh,93
1/1/2022,Selangor,Sabak Bernam,hospital_non_moh,0
1/1/2022,Selangor,Sabak Bernam,special_medical_institution,0
1/1/2022,Selangor,Sepang,hospital_moh,1126
1/1/2022,Selangor,Sepang,hospital_non_moh,0
1/1/2022,Selangor,Sepang,special_medical_institution,0
1/1/2022,Terengganu,Besut,hospital_moh,140
1/1/2022,Terengganu,Besut,hospital_non_moh,0
1/1/2022,Terengganu,Besut,special_medical_institution,0
1/1/2022,Terengganu,Dungun,hospital_moh,100
1/1/2022,Terengganu,Dungun,hospital_non_moh,0
1/1/2022,Terengganu,Dungun,special_medical_institution,0
1/1/2022,Terengganu,Hulu Terengganu,hospital_moh,95
1/1/2022,Terengganu,Hulu Terengganu,hospital_non_moh,0
1/1/2022,Terengganu,Hulu Terengganu,special_medical_institution,0
1/1/2022,Terengganu,Kemaman,hospital_moh,164
1/1/2022,Terengganu,Kemaman,hospital_non_moh,0
1/1/2022,Terengganu,Kemaman,special_medical_institution,0
1/1/2022,Terengganu,Kuala Terengganu,hospital_moh,1155
1/1/2022,Terengganu,Kuala Terengganu,hospital_non_moh,0
