state,district,date,sex,age,ethnicity,population
Kedah,Bandar Baharu,1/1/2022,male,15-19,overall,1.9
Kedah,Bandar Baharu,1/1/2022,male,20-24,overall,2.4
Kedah,Bandar Baharu,1/1/2022,male,25-29,overall,2.3
Kedah,Bandar Baharu,1/1/2022,male,30-34,overall,1.8
Kedah,Bandar Baharu,1/1/2022,male,35-39,overall,1.4
Kedah,Bandar Baharu,1/1/2022,male,40-44,overall,1.3
Kedah,Bandar Baharu,1/1/2022,male,45-49,overall,1.2
Kedah,Bandar Baharu,1/1/2022,male,50-54,overall,1.1
Kedah,Bandar Baharu,1/1/2022,male,55-59,overall,1
Kedah,Bandar Baharu,1/1/2022,male,60-64,overall,0.9
Kedah,Bandar Baharu,1/1/2022,male,65-69,overall,0.7
Kedah,Bandar Baharu,1/1/2022,male,70-74,overall,0.5
Kedah,Bandar Baharu,1/1/2022,male,75-79,overall,0.2
Kedah,Bandar Baharu,1/1/2022,male,80-84,overall,0.1
Kedah,Bandar Baharu,1/1/2022,male,85+,overall,0.1
Kedah,Kota Setar,1/1/2022,female,0-4,overall,14.5
Kedah,Kota Setar,1/1/2022,female,5-9,overall,15.3
Kedah,Kota Setar,1/1/2022,female,10-14,overall,15.2
Kedah,Kota Setar,1/1/2022,female,15-19,overall,15.1
Kedah,Kota Setar,1/1/2022,female,20-24,overall,17.4
Kedah,Kota Setar,1/1/2022,female,25-29,overall,17.4
Kedah,Kota Setar,1/1/2022,female,30-34,overall,14.4
Kedah,Kota Setar,1/1/2022,female,35-39,overall,12
Kedah,Kota Setar,1/1/2022,female,40-44,overall,10.6
Kedah,Kota Setar,1/1/2022,female,45-49,overall,10.3
Kedah,Kota Setar,1/1/2022,female,50-54,overall,10.4
Kedah,Kota Setar,1/1/2022,female,55-59,overall,9.7
Kedah,Kota Setar,1/1/2022,female,60-64,overall,8.8
Kedah,Kota Setar,1/1/2022,female,65-69,overall,7.2
Kedah,Kota Setar,1/1/2022,female,70-74,overall,4.9
Kedah,Kota Setar,1/1/2022,female,75-79,overall,3
Kedah,Kota Setar,1/1/2022,female,80-84,overall,2
Kedah,Kota Setar,1/1/2022,female,85+,overall,1.2
Kedah,Kota Setar,1/1/2022,male,0-4,overall,15.5
Kedah,Kota Setar,1/1/2022,male,5-9,overall,16.3
Kedah,Kota Setar,1/1/2022,male,10-14,overall,16.2
Kedah,Kota Setar,1/1/2022,male,15-19,overall,15.7
Kedah,Kota Setar,1/1/2022,male,20-24,overall,18.7
Kedah,Kota Setar,1/1/2022,male,25-29,overall,18.4
Kedah,Kota Setar,1/1/2022,male,30-34,overall,14
Kedah,Kota Setar,1/1/2022,male,35-39,overall,11.5
Kedah,Kota Setar,1/1/2022,male,40-44,overall,10.2
Kedah,Kota Setar,1/1/2022,male,45-49,overall,9.7
Kedah,Kota Setar,1/1/2022,male,50-54,overall,9.1
